"","SRR6898209","SRR6898210","SRR8094748","SRR8094749","SRR8094750","SRR8094751","SRR6898193","SRR6898194","SRR6898195","SRR6898211"
"NDN",1128,1082,150,130,142,2,72,68,2,6
"RP11-484P15.1",0,0,0,0,0,0,0,0,0,0
"PWRN4",0,0,0,0,0,0,0,0,0,0
"PWRN2",0,0,0,0,0,0,0,0,0,0
"RP11-580I1.1",0,0,0,0,0,0,0,0,0,0
"RP11-580I1.2",0,0,0,0,2,0,0,0,0,0
"RP11-350A1.2",0,0,0,0,0,0,0,0,0,0
"RP11-107D24.2",0,0,0,0,0,0,0,0,0,0
"PWRN3",0,0,0,0,0,0,0,1,0,0
"PWRN1",0,0,6,2,0,0,0,2,0,0
"NPAP1",4,0,4,0,0,0,0,0,0,0
"SNRPN",98,94,15,4,5,0,12,5,9,8
"SNURF",15,14,0,0,0,2,5,2,3,1
"RP11-701H24.3",37,50,0,0,0,0,2,3,0,1
"PWAR6",722,904,40,38,28,32,10,76,16,85
"SNORD116-20",110,15,4,2,0,0,4,3,0,3
"UBE3A",2047,2244,636,600,802,1171,1363,1930,1658,1683
"AC124997.1",1,0,0,0,0,0,0,0,2,2
"ATP10A",4,6,86,16,20,0,10,22,12,4
"RP11-2C7.1",0,0,0,0,0,0,0,0,0,0
"RP11-1084I9.1",0,0,0,0,0,0,0,0,0,0
"RP11-1084I9.2",0,0,0,0,0,0,0,0,0,0
"LINC00929",0,0,0,0,0,0,0,0,0,0
"AC009878.2",0,0,0,0,0,0,0,0,0,0
"GABRB3",2,2,24,8,2,14,125,6,8,15
"AC011196.3",0,0,0,0,0,0,0,0,0,0
"GABRA5",2,0,0,0,0,0,16,0,0,0
"GABRG3",0,0,8,0,2,0,0,2,0,0
"AC136896.1",0,0,0,0,0,0,0,0,0,0
"RP11-100M12.1",0,0,0,0,0,0,0,0,0,0
"RP11-100M12.3",0,0,0,0,0,0,0,0,0,0
"RP11-30G8.2",0,0,0,0,0,0,0,0,0,0
"RP11-30G8.1",0,0,0,0,0,0,0,0,0,0
"OCA2",8,10,0,0,2,0,0,0,0,2
"AC090696.2",0,0,0,0,0,0,0,0,0,0
"HERC2",2810,3302,788,565,1087,535,1345,1678,932,785
"GOLGA8F",2,0,0,0,0,2,0,0,0,0
